protein_id,go_term
YAL023C,GO:0097582
YAL023C,GO:0097584
YAL023C,GO:0000030
YAL023C,GO:0004169
YAL023C,GO:0016757
YAL024C,GO:0007264
YAL024C,GO:0007265
YAL024C,GO:0016192
YAL024C,GO:0031536
YAL024C,GO:0051301
YAL024C,GO:0061510
YAL024C,GO:0005737
YAL024C,GO:0005886
YAL024C,GO:0005933
YAL024C,GO:0005085
YAL025C,GO:0000460
YAL025C,GO:0000463
YAL025C,GO:0000466
YAL025C,GO:0000470
YAL025C,GO:0042273
YAL025C,GO:0005634
YAL025C,GO:0005730
YAL025C,GO:0030687
YAL025C,GO:0003674
YAL026C,GO:0006892
YAL026C,GO:0006897
YAL026C,GO:0015914
YAL026C,GO:0032456
YAL026C,GO:0045332
YAL026C,GO:0140331
YAL026C,GO:0005768
YAL026C,GO:0005783
YAL026C,GO:0005794
YAL026C,GO:0005802
YAL026C,GO:0005886
YAL026C,GO:0010008
YAL026C,GO:0016020
YAL026C,GO:1990530
YAL026C,GO:0000287
YAL026C,GO:0005524
YAL026C,GO:0008289
YAL026C,GO:0016887
YAL026C,GO:0046872
YAL026C,GO:0090555
YAL026C,GO:0090556
YAL026C,GO:0140326
YAL026C,GO:0140345
YAL026C,GO:0140346
YAL027W,GO:0000736
YAL027W,GO:0006281
YAL027W,GO:0005634
YAL027W,GO:0070336
YAL027W,GO:0070337
YAL027W,GO:0070338
YAL028W,GO:0031204
YAL028W,GO:0071469
YAL028W,GO:0071472
YAL028W,GO:0005783
YAL028W,GO:0005789
YAL028W,GO:0016020
YAL028W,GO:0003674
YAL029C,GO:0007015
YAL029C,GO:0007533
YAL029C,GO:0008298
YAL029C,GO:0030050
YAL029C,GO:0048309
YAL029C,GO:0051028
YAL029C,GO:0005737
YAL029C,GO:0005739
YAL029C,GO:0005933
YAL029C,GO:0005934
YAL029C,GO:0015629
YAL029C,GO:0016020
YAL029C,GO:0016459
YAL029C,GO:0031941
YAL029C,GO:0031982
YAL029C,GO:0000146
YAL029C,GO:0003774
YAL029C,GO:0003779
YAL029C,GO:0005516
YAL029C,GO:0005524
YAL029C,GO:0051015
YAL030W,GO:0006887
YAL030W,GO:0006893
YAL030W,GO:0006897
YAL030W,GO:0006906
YAL030W,GO:0016192
YAL030W,GO:0005768
YAL030W,GO:0005802
YAL030W,GO:0005829
YAL030W,GO:0005886
YAL030W,GO:0005933
YAL030W,GO:0005935
YAL030W,GO:0012505
YAL030W,GO:0016020
YAL030W,GO:0030658
YAL030W,GO:0031201
YAL030W,GO:0071944
YAL030W,GO:0098588
YAL030W,GO:0005484
YAL030W,GO:0019905
YAL031C,GO:0007059
YAL031C,GO:0005737
YAL031C,GO:0008157
YAL031C,GO:0019888
YAL032C,GO:0000350
YAL032C,GO:0000398
YAL032C,GO:0006397
YAL032C,GO:0008380
YAL032C,GO:0005634
YAL032C,GO:0005681
YAL032C,GO:0071006
YAL032C,GO:0071007
YAL032C,GO:0071014
YAL032C,GO:0000384
YAL032C,GO:0000386
YAL033W,GO:0000294
YAL033W,GO:0001682
YAL033W,GO:0006364
YAL033W,GO:0008033
YAL033W,GO:0034965
YAL033W,GO:0000172
YAL033W,GO:0005634
YAL033W,GO:0005655
YAL033W,GO:0005737
YAL033W,GO:0030677
YAL033W,GO:1902555
YAL033W,GO:1990904
YAL033W,GO:0000171
YAL033W,GO:0003723
YAL033W,GO:0004526
YAL033W,GO:0016787
YAL033W,GO:0033204
YAL034C,GO:0006338
YAL034C,GO:0006357
YAL034C,GO:0008150
YAL034C,GO:0045893
YAL034C,GO:0005575
YAL034C,GO:0005634
YAL034C,GO:0070210
YAL034C,GO:0003674
YAL034C,GO:0003682
YAL034C,GO:0003713
YAL034W-A,GO:0000070
YAL034W-A,GO:0000278
YAL034W-A,GO:0007059
YAL034W-A,GO:0034501
YAL034W-A,GO:0051301
YAL034W-A,GO:0051382
YAL034W-A,GO:0000444
YAL034W-A,GO:0000775
YAL034W-A,GO:0000776
YAL034W-A,GO:0000922
YAL034W-A,GO:0005634
YAL034W-A,GO:0005694
